Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
384.65,1829.0,,,,,,,,,,
385.56,2759.0,,,,,,,,,,
386.68,3710.0,,,,,,,,,,
378.42,4633.0,,,,,,,,,,
377.3,5575.0,,,,,,,,,,
379.82,6515.0,,,,,,,,,,
384.44,7444.0,,,,,,,,,,
371.56,8373.0,,,,,,,,,,
397.18,9294.0,,,,,,,,,,
397.11,10199.0,,,,,,,,,,
385.21,11129.0,,,,,,,,,,
387.8,12072.0,,,,,,,,,,
381.57,12994.0,,,,,,,,,,
401.59,13907.0,,,,,,,,,,
388.57,14831.0,,,,,,,,,,
373.52,15738.0,,,,,,,,,,
383.11,16636.0,,,,,,,,,,
399.0,17551.0,,,,,,,,,,
352.94,18463.0,,,,,,,,,,
392.7,19382.0,,,,,,,,,,
375.34,20293.0,,,,,,,,,,
379.68,21202.0,,,,,,,,,,
385.35,22147.0,,,,,,,,,,
385.7,23037.0,,,,,,,,,,
372.4,23975.0,,,,,,,,,,
372.4,24863.0,,,,,,,,,,
395.43,25783.0,,,,,,,,,,
377.16,26698.0,,,,,,,,,,
368.27,27611.0,,,,,,,,,,
380.52,28540.0,,,,,,,,,,
379.96,29467.0,,,,,,,,,,
381.85,30381.0,,,,,,,,,,
378.07,31267.0,,,,,,,,,,
370.02,32196.0,,,,,,,,,,
379.12,33199.0,,,,,,,,,,
