TO time,TO value,IC time,IC value,ogTO time,ogTO value
3996.0,-175.0,3473.0,-113.19,3996.0,0
4956.0,-180.32,4436.0,-104.3,4941.0,-162.4
5873.0,-116.9,5374.0,-164.99,5873.0,0
6900.0,-184.03,6345.0,-157.5,6885.0,-162.89
7850.0,-173.67,7310.0,-154.0,7834.0,-148.26
8825.0,-169.68,8278.0,-158.48,8801.0,-162.61
9764.0,-181.23,9230.0,-165.83,9741.0,-154.98
10719.0,-167.44,10169.0,-152.46,10688.0,-164.78
11682.0,-156.45,11121.0,-157.64,11659.0,-152.67
12641.0,-172.69,12097.0,-155.26,12618.0,-150.71
13634.0,-182.84,13064.0,-150.78,13610.0,-160.37
14605.0,-183.4,14039.0,-153.23,14581.0,-149.03
15562.0,-171.36,15025.0,-113.61,15538.0,-159.25
16535.0,-161.14,15970.0,-159.39,16512.0,-154.49
17510.0,-184.17,16945.0,-149.66,17487.0,-146.86
18483.0,-184.24,17938.0,-164.15,18467.0,-147.35
19420.0,-160.44,18892.0,-158.13,19397.0,-147.63
20378.0,-171.22,19845.0,-149.17,20347.0,-145.6
21377.0,-163.17,20799.0,-160.58,21338.0,-150.85
22338.0,-142.73,21767.0,-157.36,22307.0,-161.84
23258.0,-189.07,22719.0,-145.95,23219.0,-147.07
24199.0,-191.17,23661.0,-155.68,24160.0,-150.92
25165.0,-156.66,24617.0,-100.66,25126.0,-150.99
26124.0,-133.14,25551.0,-167.02,26086.0,-157.92
27077.0,-165.2,26512.0,-159.25,27045.0,-149.52
28029.0,-152.81,27481.0,-128.73,27990.0,-149.52
28982.0,-182.21,28426.0,-146.02,28951.0,-146.58
29919.0,-186.48,29372.0,-161.77,29889.0,-146.86
30890.0,-157.22,30316.0,-178.43,30859.0,-143.5
31844.0,-142.38,31278.0,-156.73,31782.0,-142.59
32795.0,-145.6,32231.0,-158.83,32756.0,-149.87
33748.0,-145.81,33183.0,-167.65,33701.0,-149.1
34688.0,-141.26,34123.0,-149.87,34649.0,-153.23
35630.0,-146.37,35068.0,-155.05,35592.0,-162.05
36589.0,-156.59,36004.0,-155.4,36551.0,-153.79
37564.0,-161.21,36994.0,-152.25,37533.0,-148.96
38545.0,-149.66,37960.0,-160.23,38514.0,-156.03
39431.0,-116.06,38938.0,-149.52,39431.0,0
40535.0,-147.14,39941.0,-163.31,40512.0,-152.53
,,41025.0,-56.28,,
