TO time,TO value,IC time,IC value,ogTO time,ogTO value
4664.0,14.7,3758.0,-39.76,4664.0,0
5890.0,10.5,5026.0,-30.24,5890.0,0
7206.0,9.66,6287.0,-23.52,7206.0,0
8461.0,9.87,7586.0,-34.3,8461.0,0
9687.0,7.7,8834.0,-28.42,9687.0,0
10928.0,8.61,10069.0,-46.27,10928.0,0
12143.0,19.6,11273.0,0.07,12143.0,0
13362.0,6.51,12502.0,-23.38,13362.0,0
14604.0,5.81,13745.0,-34.37,14604.0,0
15831.0,10.64,14990.0,-46.69,15831.0,0
17065.0,11.34,16221.0,-44.66,17065.0,0
18261.0,18.55,17422.0,-37.73,18261.0,0
19478.0,7.84,18618.0,-29.82,19478.0,0
20679.0,8.19,19850.0,-44.31,20679.0,0
21898.0,10.99,21044.0,-36.68,21898.0,0
23072.0,15.4,22248.0,-45.22,23072.0,0
24261.0,5.67,23423.0,-27.3,24261.0,0
25467.0,5.53,24618.0,-46.2,25467.0,0
26667.0,7.56,25826.0,-39.2,26667.0,0
27880.0,6.51,27019.0,-32.62,27880.0,0
29053.0,8.54,28237.0,-39.76,29053.0,0
30246.0,7.49,29422.0,-57.05,30246.0,0
31434.0,13.79,30621.0,-38.08,31434.0,0
32621.0,6.3,31793.0,-60.34,32621.0,0
33837.0,13.3,32987.0,-42.77,33837.0,0
35025.0,10.36,34195.0,-59.57,35025.0,0
36207.0,11.62,35376.0,-46.9,36207.0,0
37488.0,21.84,36580.0,-31.85,37488.0,0
38679.0,12.67,37837.0,-43.4,38679.0,0
39924.0,14.91,39046.0,0.63,39924.0,0
41095.0,13.37,40273.0,-54.81,41095.0,0
42331.0,14.56,41462.0,2.52,42331.0,0
43546.0,8.89,42689.0,-26.25,43546.0,0
44756.0,13.09,43904.0,-47.39,44756.0,0
45943.0,8.54,45129.0,-47.46,45943.0,0
47135.0,11.48,46316.0,-52.5,47135.0,0
48290.0,11.2,47484.0,1.12,48290.0,0
49477.0,5.88,48672.0,-37.8,49477.0,0
50645.0,7.77,49850.0,-45.78,50645.0,0
51914.0,5.81,51047.0,-45.29,51914.0,0
53107.0,16.1,52268.0,-35.42,53107.0,0
54312.0,7.77,53452.0,-37.31,54312.0,0
55507.0,12.53,54659.0,-53.41,55507.0,0
56695.0,13.09,55846.0,-48.51,56695.0,0
57863.0,7.77,57043.0,-47.74,57863.0,0
59063.0,7.84,58236.0,0.63,59063.0,0
60285.0,16.8,59436.0,-51.87,60285.0,0
61502.0,17.92,60643.0,3.99,61502.0,0
62679.0,14.14,61844.0,-39.34,62679.0,0
63865.0,14.35,63029.0,-55.44,63865.0,0
65263.0,12.53,64231.0,-45.5,65263.0,0
