Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
146.51,2491.0,,,,,,,,,,
276.08,3590.0,,,,,,,,,,
242.69,4582.0,,,,,,,,,,
263.97,5596.0,,,,,,,,,,
312.9,6619.0,,,,,,,,,,
277.06,7663.0,,,,,,,,,,
246.19,8644.0,,,,,,,,,,
278.6,9650.0,,,,,,,,,,
261.87,10633.0,,,,,,,,,,
286.58,11614.0,,,,,,,,,,
253.05,12602.0,,,,,,,,,,
278.53,13593.0,,,,,,,,,,
260.82,14569.0,,,,,,,,,,
263.97,15528.0,,,,,,,,,,
307.02,16515.0,,,,,,,,,,
286.3,17527.0,,,,,,,,,,
262.5,18545.0,,,,,,,,,,
270.62,19557.0,,,,,,,,,,
287.49,20507.0,,,,,,,,,,
252.98,21543.0,,,,,,,,,,
258.09,22558.0,,,,,,,,,,
270.55,23544.0,,,,,,,,,,
256.62,24601.0,,,,,,,,,,
248.99,25636.0,,,,,,,,,,
294.56,26665.0,,,,,,,,,,
266.07,27691.0,,,,,,,,,,
248.22,28686.0,,,,,,,,,,
271.88,29693.0,,,,,,,,,,
288.75,30707.0,,,,,,,,,,
266.07,31725.0,,,,,,,,,,
265.86,32681.0,,,,,,,,,,
247.31,33718.0,,,,,,,,,,
262.85,34768.0,,,,,,,,,,
284.34,35756.0,,,,,,,,,,
259.42,36788.0,,,,,,,,,,
