Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
100.03,2865.0,,,,,,,,,,
168.07,4134.0,,,,,,,,,,
179.13,5495.0,,,,,,,,,,
182.0,6773.0,,,,,,,,,,
186.48,8020.0,,,,,,,,,,
282.31,9281.0,,,,,,,,,,
269.78,10331.0,,,,,,,,,,
253.75,11344.0,,,,,,,,,,
245.77,12369.0,,,,,,,,,,
231.56,13458.0,,,,,,,,,,
235.27,14505.0,,,,,,,,,,
230.02,15617.0,,,,,,,,,,
214.55,16621.0,,,,,,,,,,
259.84,17724.0,,,,,,,,,,
250.32,18803.0,,,,,,,,,,
241.78,19863.0,,,,,,,,,,
244.09,20929.0,,,,,,,,,,
323.54,21925.0,,,,,,,,,,
259.21,22843.0,,,,,,,,,,
285.88,23766.0,,,,,,,,,,
292.95,24716.0,,,,,,,,,,
271.32,25716.0,,,,,,,,,,
264.11,26644.0,,,,,,,,,,
272.65,27643.0,,,,,,,,,,
273.21,28619.0,,,,,,,,,,
311.64,29580.0,,,,,,,,,,
284.62,30565.0,,,,,,,,,,
246.26,31575.0,,,,,,,,,,
256.9,32614.0,,,,,,,,,,
262.36,33702.0,,,,,,,,,,
253.26,34785.0,,,,,,,,,,
266.56,35843.0,,,,,,,,,,
230.72,36962.0,,,,,,,,,,
227.92,38088.0,,,,,,,,,,
216.86,39153.0,,,,,,,,,,
191.94,40368.0,,,,,,,,,,
196.98,41604.0,,,,,,,,,,
212.1,42776.0,,,,,,,,,,
200.2,43997.0,,,,,,,,,,
