Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
183.54,1605.0,,,,,,,,,,
197.26,2943.0,,,,,,,,,,
209.65,4232.0,,,,,,,,,,
203.35,5492.0,,,,,,,,,,
210.91,6702.0,,,,,,,,,,
252.28,7794.0,,,,,,,,,,
236.88,8844.0,,,,,,,,,,
230.23,9872.0,,,,,,,,,,
244.44,10901.0,,,,,,,,,,
213.5,11922.0,,,,,,,,,,
289.03,12903.0,,,,,,,,,,
285.67,13793.0,,,,,,,,,,
265.09,14678.0,,,,,,,,,,
286.93,15599.0,,,,,,,,,,
265.44,16518.0,,,,,,,,,,
272.44,17448.0,,,,,,,,,,
285.39,18354.0,,,,,,,,,,
239.61,19197.0,,,,,,,,,,
261.94,20181.0,,,,,,,,,,
254.87,21109.0,,,,,,,,,,
220.64,22163.0,,,,,,,,,,
242.62,23232.0,,,,,,,,,,
217.49,24296.0,,,,,,,,,,
236.53,25397.0,,,,,,,,,,
228.34,26443.0,,,,,,,,,,
248.15,27488.0,,,,,,,,,,
250.25,28556.0,,,,,,,,,,
255.85,29662.0,,,,,,,,,,
272.44,30739.0,,,,,,,,,,
226.8,31844.0,,,,,,,,,,
210.21,33030.0,,,,,,,,,,
227.78,34210.0,,,,,,,,,,
211.68,35381.0,,,,,,,,,,
228.97,36624.0,,,,,,,,,,
211.4,37793.0,,,,,,,,,,
221.27,39028.0,,,,,,,,,,
216.02,40262.0,,,,,,,,,,
188.65,41485.0,,,,,,,,,,
213.29,42784.0,,,,,,,,,,
231.56,44001.0,,,,,,,,,,
227.5,45244.0,,,,,,,,,,
223.23,46481.0,,,,,,,,,,
210.21,47714.0,,,,,,,,,,
