Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
180.95,2975.0,,,,,,,,,,
173.81,4380.0,,,,,,,,,,
199.22,5817.0,,,,,,,,,,
179.34,7191.0,,,,,,,,,,
171.22,8736.0,,,,,,,,,,
180.6,10278.0,,,,,,,,,,
188.51,11723.0,,,,,,,,,,
169.61,13171.0,,,,,,,,,,
176.75,14799.0,,,,,,,,,,
167.79,16301.0,,,,,,,,,,
160.44,17866.0,,,,,,,,,,
172.62,19433.0,,,,,,,,,,
151.62,21031.0,,,,,,,,,,
169.68,22700.0,,,,,,,,,,
156.03,24159.0,,,,,,,,,,
172.2,25656.0,,,,,,,,,,
171.15,27211.0,,,,,,,,,,
172.27,28614.0,,,,,,,,,,
167.93,30089.0,,,,,,,,,,
167.65,31680.0,,,,,,,,,,
174.37,33112.0,,,,,,,,,,
152.32,34666.0,,,,,,,,,,
156.73,36157.0,,,,,,,,,,
165.62,37754.0,,,,,,,,,,
169.33,39236.0,,,,,,,,,,
150.01,40711.0,,,,,,,,,,
147.35,42277.0,,,,,,,,,,
155.54,43796.0,,,,,,,,,,
157.29,45247.0,,,,,,,,,,
144.97,46760.0,,,,,,,,,,
178.99,48197.0,,,,,,,,,,
166.39,49742.0,,,,,,,,,,
160.23,51259.0,,,,,,,,,,
158.97,52832.0,,,,,,,,,,
155.4,54335.0,,,,,,,,,,
160.72,55835.0,,,,,,,,,,
154.35,57281.0,,,,,,,,,,
160.51,58796.0,,,,,,,,,,
185.15,60267.0,,,,,,,,,,
162.19,61782.0,,,,,,,,,,
172.2,63282.0,,,,,,,,,,
148.26,64782.0,,,,,,,,,,
152.39,66275.0,,,,,,,,,,
162.54,67772.0,,,,,,,,,,
168.21,69242.0,,,,,,,,,,
160.93,70601.0,,,,,,,,,,
174.44,72265.0,,,,,,,,,,
153.3,73798.0,,,,,,,,,,
171.5,75232.0,,,,,,,,,,
174.09,76744.0,,,,,,,,,,
141.89,78242.0,,,,,,,,,,
157.71,79915.0,,,,,,,,,,
150.43,81402.0,,,,,,,,,,
160.51,82893.0,,,,,,,,,,
164.85,84488.0,,,,,,,,,,
176.68,86029.0,,,,,,,,,,
167.93,87560.0,,,,,,,,,,
163.66,88995.0,,,,,,,,,,
164.64,90395.0,,,,,,,,,,
177.87,91991.0,,,,,,,,,,
133.35,93515.0,,,,,,,,,,
