Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
241.15,2481.0,,,,,,,,,,
243.74,3643.0,,,,,,,,,,
242.41,4762.0,,,,,,,,,,
237.72,5878.0,,,,,,,,,,
228.83,6987.0,,,,,,,,,,
257.81,8108.0,,,,,,,,,,
247.03,9200.0,,,,,,,,,,
233.66,10276.0,,,,,,,,,,
265.02,11398.0,,,,,,,,,,
234.01,12527.0,,,,,,,,,,
225.47,13617.0,,,,,,,,,,
266.42,14695.0,,,,,,,,,,
239.89,15766.0,,,,,,,,,,
247.52,16857.0,,,,,,,,,,
254.45,17942.0,,,,,,,,,,
278.53,19013.0,,,,,,,,,,
259.14,20143.0,,,,,,,,,,
242.06,21250.0,,,,,,,,,,
240.8,22306.0,,,,,,,,,,
227.99,23429.0,,,,,,,,,,
249.9,24520.0,,,,,,,,,,
215.25,25641.0,,,,,,,,,,
232.33,26751.0,,,,,,,,,,
234.57,27855.0,,,,,,,,,,
249.55,28947.0,,,,,,,,,,
245.7,30014.0,,,,,,,,,,
253.89,31117.0,,,,,,,,,,
227.43,32223.0,,,,,,,,,,
244.16,33291.0,,,,,,,,,,
245.21,34384.0,,,,,,,,,,
253.12,35498.0,,,,,,,,,,
238.56,36595.0,,,,,,,,,,
290.99,37710.0,,,,,,,,,,
224.49,38807.0,,,,,,,,,,
268.59,39900.0,,,,,,,,,,
235.62,40988.0,,,,,,,,,,
235.9,42081.0,,,,,,,,,,
242.41,43153.0,,,,,,,,,,
244.02,44232.0,,,,,,,,,,
227.64,45329.0,,,,,,,,,,
237.09,46400.0,,,,,,,,,,
237.93,47489.0,,,,,,,,,,
279.44,48594.0,,,,,,,,,,
258.02,49667.0,,,,,,,,,,
225.05,50805.0,,,,,,,,,,
