TO time detected,TO value detected,IC time detected,IC value detected,actual TO time,actual TO value,actual IC time,actual IC value
2926.0,-235.62,2546.0,-231.63,2179.0,-280.07,1735.0,-224.98
3768.0,-257.88,3348.0,-257.18,2958.0,-280.77,2562.0,-272.79
4533.0,-273.56,4150.0,-248.71,3744.0,-268.8,3340.0,-308.35
5326.0,-267.61,4950.0,-180.04,4549.0,-282.59,4142.0,-286.3
6146.0,-278.81,5728.0,-302.68,5342.0,-276.29,4934.0,-296.73
6956.0,-266.63,6532.0,-273.84,6154.0,-281.47,5728.0,-302.68
7770.0,-281.96,7337.0,-273.56,6940.0,-272.09,6524.0,-282.1
8606.0,-269.78,8156.0,-269.99,7778.0,-285.11,7337.0,-273.56
9393.0,-283.08,8977.0,-267.61,8590.0,-270.27,8156.0,-269.99
10212.0,-259.56,9793.0,-186.76,9409.0,-290.92,8977.0,-267.61
11011.0,-274.54,10584.0,-287.98,10196.0,-271.04,9777.0,-264.88
11817.0,-290.22,11392.0,-233.17,10995.0,-277.34,10584.0,-287.98
12634.0,-272.72,12198.0,-266.98,11817.0,-290.22,11384.0,-264.46
13471.0,-248.92,13022.0,-264.67,12626.0,-275.66,12198.0,-266.98
14288.0,-281.26,13867.0,-256.34,13455.0,-257.04,13022.0,-264.67
15111.0,-284.9,14701.0,-230.93,14288.0,-281.26,13867.0,-256.34
15929.0,-286.02,15511.0,-231.28,15127.0,-290.71,14693.0,-269.36
16757.0,-270.97,16315.0,-264.81,15937.0,-290.57,15503.0,-244.72
17573.0,-264.67,17132.0,-257.39,16749.0,-277.06,16307.0,-276.15
18378.0,-283.5,17953.0,-187.25,17541.0,-285.18,17180.0,-261.73
19209.0,-269.15,18776.0,-117.88,18378.0,-283.5,17937.0,-265.58
20047.0,-265.65,19614.0,-112.84,19201.0,-274.54,18752.0,-245.49
20908.0,-281.61,20450.0,-262.92,20039.0,-268.73,19590.0,-236.53
21764.0,-252.14,21304.0,-243.67,20908.0,-281.61,20450.0,-262.92
22607.0,-262.29,22151.0,-252.7,21756.0,-258.16,21304.0,-243.67
23449.0,-268.59,23010.0,-206.36,22592.0,-265.37,22151.0,-252.7
24302.0,-274.19,23860.0,-221.55,23457.0,-269.92,23002.0,-253.4
25172.0,-271.67,24714.0,-265.79,24309.0,-281.05,23852.0,-258.79
25970.0,-284.69,25559.0,-227.64,25148.0,-277.27,24714.0,-265.79
26804.0,-281.68,26376.0,-206.15,25978.0,-285.04,25551.0,-280.49
27648.0,-262.36,27207.0,-187.88,26812.0,-284.27,26360.0,-255.5
28487.0,-246.26,28021.0,-265.93,27640.0,-282.03,27191.0,-261.45
29311.0,-255.22,28867.0,-234.43,28479.0,-265.23,28021.0,-265.93
30133.0,-273.49,29691.0,-262.08,29287.0,-256.62,28859.0,-253.82
30955.0,-271.6,30523.0,-240.73,30133.0,-273.49,29683.0,-265.02
31798.0,-275.1,31374.0,-131.32,30955.0,-271.6,30570.0,-253.33
32683.0,-264.46,32226.0,-129.01,31814.0,-280.56,31358.0,-265.72
,,,,32675.0,-271.46,32202.0,-248.78
