Which file:,TO average delay,IC average delay,TO misses,IC misses,TO truth delay,IC truth delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9533,10672,11770,12885,14022,15195,16337,17453,18543,19629,20744,21844,22926,24019,25105,26202,27292,28396,29528,30608,31699,32819,33894,34978,36052,37101,38197,39257,40319,41381,42475,43560,44667,45739,46854,47970,49083,50208,51309,52430,53553,54667,55775,56872,58002,59142,60244,61361,62469,63580,64719,65850,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT06_vary_31.csv,0,0,0,0,-119.7045455,-52.45454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2344,3446,4574,5744,6873,7967,9090,10255,11369,12460,13590,14571,15549,16556,17543,18515,19496,20445,21412,22378,23190,23970,24734,25522,26307,27129,27928,28750,29538,30344,31146,32083,33057,33997,34950,35923,36879,37842,38925,40064,41171,42277,43445,44591,45809,,,,,,,,,,,
2344,3446,4574,5744,6873,7967,9090,10255,11369,12460,13590,14571,15549,16556,17543,18515,19496,20445,21412,22378,23190,23970,24734,25522,26307,27129,27928,28750,29538,30344,31146,32083,33057,33997,34950,35923,36879,37842,38925,40064,41171,42277,43445,44591,45809,,,,,,,,,,,
1708,2836,3961,5104,6257,7350,8465,9599,10738,11843,12967,14035,15005,15985,16998,17980,18969,19929,20883,21833,22750,23564,24339,25113,25898,26703,27510,28325,29128,29919,30721,31585,32521,33476,34434,35402,36351,37314,38417,39424,40539,41663,42784,43934,45099,,,,,,,,,,,
1708,2836,3961,5104,6257,7350,8465,9599,10738,11843,12967,14035,15005,15985,16998,17980,18969,19929,20883,21833,22750,23564,24339,25113,25898,26703,27510,28325,29128,29919,30721,31585,32521,33476,34434,35402,36351,37314,38417,39424,40539,41663,42784,43934,45099,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT07_fast_01.csv,0,0,0,0,-14546,-14456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,14670,38265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,14670,38265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,14176,37698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,14176,37698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRT07_slow_01.csv,0,0,0,0,-1757,-99.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
