TO,IC
3706,2882
5024,4249
6342,5560
7779,6902
9096,8307
10393,9613
11710,10916
13043,12239
14421,13573
15804,14973
17131,16322
18409,17641
19716,18919
21021,20251
22328,21540
23665,22858
25003,24205
26313,25528
27608,26819
28966,28118
30322,29492
31613,30834
32917,32116
34237,33422
35560,34763
36917,36113
38231,37448
39553,38753
40883,40089
42233,41398
43576,42744
44921,44095
46258,45432
47671,46785
49013,48163
50395,49539
51788,50926
53171,52334
54517,53694
55823,55013
57139,56344
58546,57692
59882,59051
61264,60426
62687,61854
63987,63200
65326,64497
66700,65868
68102,67260
69508,68645
70947,70037
72411,71492
