TO,IC
2595,1778
3901,3076
5142,4388
6377,5625
7494,6866
8544,7919
9571,8969
10617,9997
11643,11028
12674,12048
13547,13030
14455,13912
15370,14820
16264,15734
17193,16653
18109,17566
19054,18474
19951,19410
20888,20316
21878,21220
22947,22288
24056,23358
25104,24430
26150,25514
27187,26569
28271,27597
29362,28688
30447,29780
31558,30881
32674,31969
33886,33171
35080,34335
36299,35545
37474,36758
38702,37930
39929,39184
41140,40403
42443,41649
43674,42925
44912,44142
46153,45385
47374,46607
48575,47847
49825,49064
