TO,IC
3315,2532
4596,3819
5804,5065
7137,6356
8407,7633
9633,8881
10854,10099
12050,11312
13324,12556
14543,13791
15792,15021
16995,16275
18175,17469
19416,18664
20628,19889
21828,21098
23001,22295
24175,23462
25396,24672
26583,25857
27812,27057
28976,28279
30184,29462
31373,30644
32567,31832
33759,33049
34940,34234
36121,35431
37395,36642
38632,37891
39846,39100
41040,40312
42253,41525
43461,42727
44660,43950
45889,45167
47057,46354
48236,47538
49414,48734
50598,49888
51837,51101
53022,52299
54201,53498
55383,54690
56571,55884
57783,57089
59001,58267
60212,59482
61424,60689
62601,61890
63741,63067
