TO,IC
3829,3017
5204,4362
6482,5686
7762,6970
9029,8226
10028,9415
11053,10434
12101,11455
13153,12503
14251,13579
15320,14662
16385,15734
17477,16807
18519,17865
19576,18914
20629,19981
21686,21055
22647,22075
23557,23009
24502,23931
25478,24865
26406,25812
27382,26795
28350,27754
29362,28722
30313,29714
31299,30684
32375,31689
33434,32765
34501,33836
35589,34926
36678,36001
37795,37104
38890,38183
40035,39311
41297,40502
42510,41722
43722,42934
44943,44147
46186,45377
