TO,IC
3809,3037
5060,4289
6243,5515
7427,6709
8647,7899
9823,9117
11041,10307
12243,11522
13450,12738
14674,13935
15858,15142
17024,16312
18258,17503
19452,18729
20655,19938
21853,21141
23044,22342
24262,23532
25475,24743
26671,25945
27853,27142
29053,28333
30247,29519
31450,30717
32645,31926
33879,33118
35101,34359
36300,35587
37503,36768
38749,37985
39954,39228
41134,40416
42335,41616
43518,42807
44765,44012
45944,45222
47120,46394
48308,47599
49491,48760
50681,49970
51856,51151
53045,52321
54252,53527
55497,54742
56701,55978
57920,57182
59172,58413
60375,59642
