TO,IC
3164,2422
4432,3745
5679,4992
6907,6222
8191,7466
9488,8764
10813,10038
11984,11250
13267,12536
14573,13833
15851,15133
17103,16380
18371,17640
19624,18931
20877,20183
22111,21439
23338,22653
24605,23913
25861,25171
27117,26411
28349,27662
29578,28884
30831,30121
32124,31384
33382,32674
34596,33915
35799,35123
37045,36336
38289,37587
39596,38849
40861,40130
42116,41409
43379,42674
44600,43906
45848,45158
47105,46418
48373,47679
49641,48941
50850,50163
52053,51382
53223,52577
54435,53748
55624,54969
56799,56142
57968,57325
59112,58479
60268,59623
61416,60779
62576,61914
63729,63071
64868,64223
66058,65396
67233,66578
68401,67765
