TO,IC
4046,3156
5506,4656
6903,6093
8432,7532
9943,9013
11405,10531
12915,12007
14473,13558
15997,15084
17546,16632
19153,18182
20745,19780
22388,21385
23864,23068
25392,24483
26892,26021
28358,27503
29835,28946
31354,30430
32841,31933
34348,33443
35863,34959
37437,36504
38981,38053
40447,39536
41967,41059
43480,42615
44934,44069
46397,45528
47927,47033
49447,48567
50972,50065
52521,51622
54081,53146
55533,54675
56985,56111
58476,57591
60003,59097
61471,60582
62979,62114
64510,63597
66004,65122
67468,66583
68907,68041
70362,69479
71978,71020
73448,72597
74984,74067
76441,75564
77978,77029
79612,78675
81115,80270
82654,81725
84193,83281
85765,84822
87305,86400
88740,87891
90139,89318
91682,90745
93184,92320
94809,93857
