TO,IC
1973,1429
2952,2438
3914,3397
4883,4362
5845,5347
6822,6300
7803,7287
8744,8206
9707,9177
10670,10147
11630,11110
12594,12070
13552,13030
14506,13984
15468,14955
16417,15909
17368,16860
18315,17799
19263,18756
20192,19680
21124,20618
22050,21549
22974,22475
23898,23392
24821,24322
25760,25253
26697,26175
27642,27135
28580,28075
29525,29008
30455,29949
31396,30879
32357,31836
33302,32798
34271,33743
35206,34673
36103,35603
37035,36522
37966,37452
38878,38365
39814,39294
40743,40236
41702,41181
42669,42134
