TO,IC
2964,2079
4199,3460
5386,4637
6561,5805
7671,6956
8824,8099
9924,9226
11021,10342
12101,11433
13158,12480
14253,13576
15280,14647
16397,15673
17499,16822
18592,17910
19729,19003
20786,20085
21894,21219
23031,22313
24086,23392
25181,24513
26269,25577
27373,26679
28467,27798
29544,28877
30606,29934
31689,31001
32800,32091
33896,33219
34971,34290
36004,35369
37132,36462
38222,37549
39288,38624
40345,39687
41449,40773
42547,41873
43659,42982
44742,44061
45798,45147
46878,46205
47937,47286
49021,48338
50153,49438
51256,50556
52356,51658
53447,52751
54559,53850
