TO,IC
4932,4200
6034,5326
7159,6444
8270,7554
9390,8665
10436,9729
11526,10828
12573,11912
13565,12918
14532,13935
15501,14918
16490,15895
17476,16870
18435,17853
19427,18830
21314,19784
22212,20787
23963,21674
25712,22566
28382,23428
29354,24316
30355,25007
31289,25902
32272,26665
33277,27652
34049,28424
35293,29551
36285,30519
37297,31494
38379,32665
39427,33481
40490,34664
42657,35521
43691,36278
,37008
,37970
,38740
,39826
,40883
,41955
,42867
,44049
