TO,IC
2159,1567
3078,2506
4043,3465
4996,4428
5966,5389
6939,6360
7889,7326
8856,8278
9827,9246
10734,10185
11705,11121
12696,12105
13680,13088
14636,14054
15601,15018
16574,15978
17549,16968
18522,17946
19482,18907
20425,19845
21409,20822
22346,21767
23290,22735
24230,23669
25180,24601
26132,25567
27108,26527
28044,27473
29006,28449
29943,29395
30914,30331
31868,31286
32802,32247
33764,33199
34696,34139
35638,35092
36623,36019
37587,36994
38560,37976
39548,38946
40567,39957
