TO,IC
2998,2230
4178,3452
5294,4609
6424,5733
7537,6857
8628,7965
9758,9071
10867,10188
11980,11288
13086,12413
14195,13519
15302,14614
16396,15717
17521,16821
18616,17930
19719,19034
20821,20134
21928,21239
23042,22331
24141,23468
25268,24553
26430,25688
27564,26841
28683,27972
29821,29097
30952,30248
32053,31374
33162,32471
34245,33570
35338,34673
36426,35748
37509,36846
38626,37944
39760,39068
40861,40180
41982,41287
43093,42408
44176,43498
45291,44595
46423,45709
