TO,IC
1639,1023
2615,2042
3578,3011
4544,3963
5488,4931
6461,5888
7420,6848
8385,7801
9346,8779
10332,9749
11327,10737
12292,11721
13252,12679
14199,13639
15147,14582
16088,15527
17033,16468
17986,17438
18938,18381
19891,19325
20866,20294
21821,21261
22789,22225
23751,23177
24698,24140
25681,25086
26619,26055
27591,27008
28522,27964
29486,28905
30433,29874
31382,30830
32334,31765
33281,32730
34272,33706
35227,34661
36198,35638
37166,36595
38143,37570
39104,38529
40035,39485
41119,40461
