TO,IC
2663,1953
3886,3180
5076,4364
6273,5575
7406,6709
8478,7850
9637,8968
10759,10104
11949,11245
13112,12430
14149,13538
15183,14565
16209,15608
17287,16668
18357,17721
19431,18784
20496,19864
21593,20940
22666,22023
23651,23100
24614,24051
25561,25022
26569,25979
27537,26949
28530,27940
29507,28950
30460,29929
31498,30914
32479,31905
33480,32897
34464,33874
35563,34923
36631,36001
37720,37065
38833,38163
39938,39271
41016,40365
42127,41469
43212,42559
44374,43661
45658,44839
47046,46187
48333,47553
49628,48863
50912,50135
52227,51406
