TO,IC
2667,2009
4863,3133
5925,4219
6976,5305
7973,6365
9070,7395
10078,8412
11115,9459
12141,10498
13192,11543
14255,12562
15280,13611
16357,14675
17402,15730
18417,16776
19414,17829
20496,18827
21513,19859
22558,20906
23594,21939
24617,22971
25662,24022
26684,25063
27757,26089
28799,27122
29831,28176
30870,29219
31914,30249
32943,31296
33950,32341
34987,33354
35995,34370
37086,35398
38094,36453
39182,37499
40234,38550
41301,39597
42359,40657
43422,41736
44472,42790
45533,43839
46573,44882
47656,45952
48718,47021
49780,48083
,49153
