TO,IC
2359,1724
3494,2848
4613,3969
5768,5120
6881,6265
7998,7366
9130,8473
10255,9615
11393,10761
12499,11859
13614,12982
14594,14043
15573,15013
16572,16001
17559,17014
18523,17988
19481,18969
20437,19937
21412,20898
22347,21849
23214,22776
23946,23580
24708,24339
25553,25113
26299,25898
27160,26711
27967,27518
28774,28333
29570,29136
30372,29928
31177,30729
32091,31601
33033,32521
34013,33499
34942,34442
35947,35410
36879,36367
37858,37330
38965,38346
40080,39432
41187,40555
42301,41675
43453,42863
44591,43934
45881,45066
