TO,IC
3706,2882
5024,4249
7779,5560
9096,6902
10393,8307
11710,9613
13043,10916
14421,12239
15804,13573
17131,14973
18409,16322
19716,17641
21021,18919
22328,20251
23665,21540
25003,22858
26313,24205
27608,25528
28966,26819
30322,28118
31613,29492
32917,30834
34237,32116
35560,33422
36917,34763
38231,36113
39553,37448
40883,38753
42233,40089
43576,41398
44921,42744
46258,44095
47671,45432
49013,46785
50395,48163
51788,49539
53171,50926
54517,52334
55823,53694
57139,55013
58546,56344
59882,57692
61264,59051
62687,60426
63987,61854
65326,63200
66700,64497
68102,65868
69508,67260
70947,68645
72411,70037
,71492
