TO,IC
3322,2666
4348,3740
5359,4764
6359,5770
7363,6753
8359,7758
9357,8763
10356,9768
13309,10747
14284,11717
15259,12706
17251,13688
19264,14656
21274,15748
23277,16649
29456,17642
36495,18656
,19653
,20649
,21677
,22668
,23702
,24712
,25770
,26798
,27825
,28845
,29821
,30833
,31837
,32847
,33861
,34879
,35890
,36915
,37953
