TO,IC
4038,3180
5475,4687
6890,6100
8424,7540
9943,9021
11405,10539
12915,12015
14441,13574
15989,15100
17546,16648
19145,18205
20745,19796
22364,21400
23864,23076
25496,24507
26868,26053
28340,27527
29827,28961
31354,30446
32841,31941
34348,33459
35847,34975
37437,36512
38981,38061
40447,39560
41959,41075
43472,42631
44926,44076
46397,45543
47927,47056
49439,48591
50964,50073
52513,51630
54073,53154
55509,54683
56977,56119
58468,57622
59995,59113
61463,60613
62979,62122
64502,63605
66004,65138
67468,66591
68907,68049
70360,69495
71809,71043
73440,72605
74952,74099
76441,75580
77970,77053
79612,78683
81107,80286
82630,81749
84190,83288
85765,84838
87290,86416
88740,87899
90139,89334
91682,90753
93160,92335
94761,93872
96417,95529
