TO,IC
2490,3284
4150,4668
5469,6025
6819,7382
8166,8790
9565,10174
10930,11523
12280,12914
13689,14293
15060,15666
16474,16998
17633,18160
18779,19324
19974,20491
21120,21616
22251,22758
23377,23885
24480,24995
25628,26142
26768,27284
27912,28403
28949,29424
29941,30411
30935,31410
31925,32378
32901,33361
33891,34342
34858,35306
35836,36277
36807,37250
37779,38231
38737,39171
39687,40123
40614,41082
41629,42175
42812,43287
43938,44446
45089,45573
46216,46698
47351,47855
48485,48986
49568,50102
50768,51401
52260,52902
53752,54394
55222,55848
56700,57324
58177,58782
59596,60245
61087,61736
62651,
