TO,IC
2244,1626
3262,2688
4268,3697
5247,4703
6244,5683
7262,6694
8311,7712
9372,8731
10338,9753
11379,10780
12366,11798
13401,12809
14437,13837
15469,14854
16498,15874
17517,16918
18586,17946
19624,18959
20584,19971
21642,21002
22609,22007
23633,23031
24653,24045
25142,25055
25666,26077
26709,27113
27720,28139
28739,29159
29757,30176
30786,31197
31797,32219
32819,33238
33828,34238
34854,35273
35866,36288
36889,37320
37920,38345
38954,39361
39989,40403
41026,41433
42034,42442
43014,43447
44071,44491
45107,45531
46147,46575
47182,47609
48239,48667
49314,
