TO,IC
3259,2556
4549,3834
5797,5080
7121,6364
8370,7640
9602,8896
10811,10107
12042,11327
13285,12572
14512,13807
15742,14958
16972,16282
18159,17476
19400,18680
20594,19897
21797,21106
22971,22303
24152,23470
25365,24680
26560,25865
27786,27065
28953,28295
30169,29470
31334,30652
32537,31839
33728,33056
34909,34242
36091,35439
37371,36650
38594,37899
39823,39116
41017,40319
42222,41533
43445,42737
44648,43966
45858,45175
47034,46362
48213,47546
49391,48741
50575,49896
51799,51109
52999,52314
54197,53506
55394,54698
56579,55899
57786,57097
58978,58283
60181,59498
61424,60704
62570,61898
63865,63075
,64293
