

GRT01_fast_01.csv


GRT01_med_01.csv

time: current_time:  1968.0 ; first_zero:  False ; second_zero:  True ; current_point:  -54.46 ; prev_point:  -34.79


time: current_time:  1975.0 ; first_zero:  False ; second_zero:  True ; current_point:  -61.11 ; prev_point:  -54.46


time: current_time:  1983.0 ; first_zero:  False ; second_zero:  True ; current_point:  -57.47 ; prev_point:  -61.11


time: current_time:  1991.0 ; first_zero:  False ; second_zero:  True ; current_point:  -57.96 ; prev_point:  -57.47


time: current_time:  1999.0 ; first_zero:  False ; second_zero:  True ; current_point:  -61.04 ; prev_point:  -57.96


time: current_time:  2007.0 ; first_zero:  False ; second_zero:  True ; current_point:  -61.6 ; prev_point:  -61.04


time: current_time:  2014.0 ; first_zero:  False ; second_zero:  True ; current_point:  -61.74 ; prev_point:  -61.6


time: current_time:  2022.0 ; first_zero:  False ; second_zero:  True ; current_point:  -62.65 ; prev_point:  -61.74


time: current_time:  2030.0 ; first_zero:  False ; second_zero:  True ; current_point:  -65.31 ; prev_point:  -62.65


time: current_time:  2037.0 ; first_zero:  False ; second_zero:  True ; current_point:  -68.18 ; prev_point:  -65.31


time: current_time:  2045.0 ; first_zero:  False ; second_zero:  True ; current_point:  -71.89 ; prev_point:  -68.18


time: current_time:  2053.0 ; first_zero:  False ; second_zero:  True ; current_point:  -73.5 ; prev_point:  -71.89


time: current_time:  2061.0 ; first_zero:  False ; second_zero:  True ; current_point:  -53.97 ; prev_point:  -73.5


time: current_time:  2069.0 ; first_zero:  False ; second_zero:  True ; current_point:  -65.17 ; prev_point:  -53.97


time: current_time:  2077.0 ; first_zero:  False ; second_zero:  True ; current_point:  -58.87 ; prev_point:  -65.17


time: current_time:  2085.0 ; first_zero:  False ; second_zero:  True ; current_point:  -53.41 ; prev_point:  -58.87


time: current_time:  2093.0 ; first_zero:  False ; second_zero:  True ; current_point:  -50.05 ; prev_point:  -53.41


time: current_time:  2101.0 ; first_zero:  False ; second_zero:  True ; current_point:  -47.81 ; prev_point:  -50.05


time: current_time:  2109.0 ; first_zero:  False ; second_zero:  True ; current_point:  -45.43 ; prev_point:  -47.81


time: current_time:  2117.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.96 ; prev_point:  -45.43


time: current_time:  2124.0 ; first_zero:  False ; second_zero:  True ; current_point:  -41.93 ; prev_point:  -43.96


time: current_time:  2132.0 ; first_zero:  False ; second_zero:  True ; current_point:  -40.25 ; prev_point:  -41.93


time: current_time:  2140.0 ; first_zero:  False ; second_zero:  True ; current_point:  -39.13 ; prev_point:  -40.25


time: current_time:  2148.0 ; first_zero:  False ; second_zero:  True ; current_point:  -39.27 ; prev_point:  -39.13


time: current_time:  2155.0 ; first_zero:  False ; second_zero:  True ; current_point:  -40.74 ; prev_point:  -39.27


time: current_time:  2163.0 ; first_zero:  False ; second_zero:  True ; current_point:  -42.28 ; prev_point:  -40.74


time: current_time:  2171.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.82 ; prev_point:  -42.28


time: current_time:  2179.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.96 ; prev_point:  -43.82


time: current_time:  2187.0 ; first_zero:  False ; second_zero:  True ; current_point:  -43.4 ; prev_point:  -43.96


